v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,L1,L2,L3,L4,L5,,P1,P2,P3,P4,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,,A,B,C,D,E,F,G
5,8,18,12,10,7,16,12,21,20,2,4,19,3,14,11,1,6,15,17,9,8.66666666666667,8.5,9.16666666666667,8.83333333333333,9.5,,,,,,,,,8,9,9,8,9,9,8,9,7,8,8,8,10,10,10,9,6,8,10,10,9,10,10,10,10,9,10,9,8,10,,6,6,6,7,5,6,6,6,6,5,6,6,5,5,4,5,5.625,8,6,8,8,6,8,8,7,8,8,7,8,,4,5,5,4,4,4,5,4,4,4,5,5,5,4,5,5,5,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,5,5,4,4,5,5,4,,4,2,4,2,2,3,7
8,14,19,4,6,18,13,7,9,16,12,17,10,11,5,1,3,2,15,21,20,6.16666666666667,6,7.5,7.83333333333333,6.33333333333333,,2,2,1,1,,2,,5,5,6,9,4,5,6,7,3,6,7,7,8,8,6,4,4,9,9,8,9,8,8,9,6,7,6,7,9,8,,6,5,6,7,3,4,3,3,6,6,6,6,4,4,4,4,4.8125,7,5,7,6,5,7,7,6,7,7,7,6,,3,4,5,3,5,5,4,4,5,4,4,4,4,3,3,5,4,1,3,3,4,5,4,4,5,4,5,2,3,4,4,5,5,5,5,4,5,4,5,,3,2,4,2,2,1,4
19,16,8,5,7,9,3,14,18,4,2,6,10,13,21,11,12,17,1,15,20,8.5,8.83333333333333,9,8.33333333333333,9,,1,1,1,2,,11,,9,9,8,8,10,9,9,9,9,9,9,9,10,8,9,7,8,9,8,9,9,9,9,8,8,8,9,9,9,9,,6,6,6,7,5,5,5,6,6,7,7,7,5,5,5,5,5.8125,8,8,7,7,7,7,7,7,7,7,7,7,,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,,3,1,3,2,0,1,1
18,8,7,16,11,5,14,19,4,3,6,12,13,10,9,15,2,17,1,20,21,7.5,8,8.83333333333333,8.66666666666667,9.33333333333333,,1,1,2,1,,16,,6,8,10,10,10,8,8,9,8,8,6,6,10,10,10,9,6,8,8,10,8,10,8,8,8,8,10,8,8,10,,3,3,3,3,7,7,7,7,7,7,5,4,3,3,3,3,4.6875,6,6,8,6,8,8,5,5,8,8,8,8,,5,5,5,5,5,5,4,4,4,4,4,4,5,4,4,5,5,4,3,3,5,5,5,4,5,4,4,5,4,3,4,5,4,5,5,4,5,4,5,,4,1,4,3,4,3,4
7,8,16,18,19,17,1,2,9,11,12,15,21,3,4,6,10,13,20,,,6.16666666666667,5.33333333333333,9.83333333333333,6.33333333333333,7.66666666666667,,,,,,,,,5,4,7,2,10,3,4,9,4,3,6,3,16,9,5,8,5,9,5,9,9,9,10,10,9,6,7,8,8,10,,6,6,6,5,4,4,6,5,6,7,6,6,5,5,6,7,5.625,7,7,7,8,6,7,6,8,7,6,7,7,,5,5,4,4,5,5,4,5,5,4,5,5,5,4,5,5,5,4,3,4,5,5,5,5,5,4,5,5,4,3,5,5,5,5,4,5,5,5,4,,3,1,4,2,0,0,1
7,16,19,13,9,12,4,18,5,11,14,17,10,6,1,2,3,15,21,20,15,7,7.33333333333333,8.16666666666667,9.16666666666667,9,,,,,,,,,8,8,10,10,9,7,8,7,9,9,5,4,10,10,9,9,8,7,7,8,5,9,7,10,9,8,7,8,9,10,,5,5,6,3,3,4,6,6,6,4,4,5,6,5,6,6,5,6,4,7,1,5,7,7,6,6,7,5,8,,5,4,4,4,4,5,4,2,3,3,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,3,4,3,2,3,3,4,4,2,4,4,4,,3,1,4,1,2,2,4
7,8,18,11,12,17,19,5,9,10,13,14,16,21,1,2,3,4,6,15,20,7.16666666666667,8.16666666666667,7.83333333333333,8.16666666666667,8.33333333333333,,,,,,,,,8,7,9,9,9,6,9,8,6,8,7,9,10,9,8,9,6,8,9,8,7,9,9,7,8,6,9,3,9,9,,6,5,6,6,5,5,6,6,5,5,6,6,3,4,5,5,5.25,7,7,7,7,6,7,6,7,7,6,7,7,,4,5,5,4,4,4,4,4,4,2,4,4,4,2,4,4,2,3,4,4,4,4,4,2,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,,4,2,4,2,0,1,4
7,8,16,19,18,13,15,20,21,1,14,17,11,12,17,4,15,6,5,3,2,7,6.66666666666667,7.16666666666667,7.83333333333333,7.33333333333333,,2,2,1,1,,2,,6,8,9,9,6,7,8,9,9,8,6,9,7,9,6,8,6,2,6,7,6,2,8,8,8,9,7,8,6,9,,6,6,5,5,6,6,7,7,6,6,6,5,5,5,5,5,5.6875,7,6,6,6,4,5,5,7,7,5,6,1,,4,3,5,4,4,5,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,5,5,4,5,4,4,5,5,4,4,4,4,5,5,4,5,4,2,,3,1,3,3,0,0,1
7,5,14,8,17,16,20,2,19,18,12,3,10,21,11,4,13,6,15,1,9,8.16666666666667,8.5,10,8.66666666666667,10,,2,1,1,2,,7,,4,3,10,9,10,8,10,10,9,10,8,10,10,10,10,9,8,10,6,10,10,10,10,8,10,10,10,10,10,10,,6,5,7,7,7,7,6,7,6,7,7,7,6,6,7,7,6.5625,6,8,6,8,8,8,6,8,8,7,8,6,,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,,3,1,3,1,0,1,7
7,13,17,5,9,3,16,12,4,8,1,14,6,10,15,2,11,21,20,19,18,8.16666666666667,6.33333333333333,7.83333333333333,8,7.66666666666667,,1,2,2,1,,13,,8,6,7,7,7,8,7,8,7,8,8,6,10,10,8,8,6,6,8,7,8,7,8,8,8,9,6,8,8,8,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5.9375,7,7,7,7,7,7,7,7,7,7,7,7,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,5,1,3,4,0,0,7
